0.wav|Aṅgas, Magadhans, Kasis, Kosalans, Vajjians, Mallans, Cetis, Vaṁsās,
519.wav|TO POTALIYA (EXCERPT). POTALIYA SUTTA  MAJJHIMA NIKĀYA 54
520.wav|Come out, good Licchavis!
521.wav|TO BHADDAJI. BHADDAJI SUTTA  AṄGUTTARA NIKĀYA 5:170
522.wav|Meanwhile, Rosika the barber was following right behind the Blessed One and said to him, 'Lord, an evil viewpoint to this effect has arisen to the brahman Lohicca:
523.wav|THE GREATER EXHORTATION TO RĀHULA. MAHĀ RĀHULOVĀDA SUTTA  MAJJHIMA NIKĀYA 62
524.wav|THERĪGĀTHĀ 5:11. PAṬĀCĀRĀ'S THIRTY STUDENTS
525.wav|Today, in the last watch of the night, between the twin Sal trees in Upavattana, the Mallans' Sal Forest near Kusinārā, the Tathāgata's total unbinding will occur.
526.wav|(BRAHMANS) OF SĀLA. SĀLEYYAKA SUTTA  MAJJHIMA NIKĀYA 41
527.wav|When this was said, Jāṇussoṇin the brahman said to the Blessed One, 'Magnificent, Master Gotama!
528.wav|TO VACCHA (ON GIVING). VACCHA SUTTA  AṄGUTTARA NIKĀYA 3:58
529.wav|THE BRAHMĀ INVITATION. BRAHMA-NIMANTANIKA SUTTA  MAJJHIMA NIKĀYA 49
530.wav|THE LONGER EXHORTATION TO MĀLUṄKYA. MAHĀ MĀLUṄKYOVĀDA SUTTA  MAJJHIMA NIKĀYA 64
531.wav|AN ANALYSIS OF THE SIX SENSE-MEDIA. SAḶĀYATANA-VIBHAṄGA SUTTA  MAJJHIMA NIKĀYA 137
532.wav|Deep, Vaccha, is this phenomenon, hard to see, hard to realize, tranquil, refined, beyond the scope of conjecture, subtle, to-be-experienced by the wise.
533.wav|THERĪGĀTHĀ 6:1. PAṬĀCĀRĀ'S 500 STUDENTS
534.wav|ABOUT AṄGULIMĀLA. AṄGULIMĀLA SUTTA  MAJJHIMA NIKĀYA 86
535.wav|THE GREAT SIX SENSE-MEDIA DISCOURSE. MAHĀ SAḶĀYATANIKA SUTTA  MAJJHIMA NIKĀYA 149
536.wav|The brahman Lohicca, with his own hand, served & satisfied the Blessed One & the Saṅgha of monks with choice staple & non-staple foods.
537.wav|He notices, 'I have gained the attainment of the first jhāna, but these other monks have not gained the attainment of the first jhāna.'
538.wav|UDĀNA 1:8. SAṄGĀMAJI (SAṄGĀMAJI SUTTA)
539.wav|AN ANALYSIS OF THE PROPERTIES. DHĀTU-VIBHAṄGA SUTTA  MAJJHIMA NIKĀYA 140
540.wav|THE TEACHING TO UPĀLI. UPĀLIVĀDA SUTTA  MAJJHIMA NIKĀYA 56
541.wav|Responding, 'As you say, sir,' to Prince Bodhi, the young brahman Sañjikāputta went to the Blessed One and, on arrival, exchanged courteous greetings with the Blessed One.
542.wav|Once the Blessed One was staying near Sāvatthī in Jeta's Grove, Anāthapiṇḍika's monastery.
543.wav|TWO PEOPLE (1). DVEJANA SUTTA  AṄGUTTARA NIKĀYA 3:52
544.wav|TWO PEOPLE (2). DVEJANA SUTTA  AṄGUTTARA NIKĀYA 3:53
545.wav|He makes known—having realized it through direct knowledge—this world with its devas, Māras, & Brahmās, this generation with its contemplatives & brahmans, its rulers & commonfolk;
546.wav|To whatever extent I want, quite secluded from sensuality, secluded from unskillful qualities, I enter & remain in the first jhāna:
547.wav|There is the case where a monk, quite secluded from sensuality, secluded from unskillful qualities, enters & remains in the first jhāna:
548.wav|Then Jīvaka Komārabhacca went to the Blessed One and, on arrival, having bowed down to the Blessed One, sat to one side.
549.wav|THE GREATER SET OF QUESTIONS & ANSWERS. MAHĀ VEDALLA SUTTA  MAJJHIMA NIKĀYA 43
550.wav|The thought occurs to him, 'What if I, with the stilling of directed thoughts & evaluations, were to enter & remain in the second jhāna:
551.wav|Quite secluded from sensuality, secluded from unskillful qualities—he enters & remains in the first jhāna:
552.wav|THERAGĀTHĀ 3:8. YASOJA
553.wav|SISTER VIJAYĀ. VIJAYĀ SUTTA  SAṀYUTTA NIKĀYA 5:4
554.wav|Then Venerable Bhaddaji went to Venerable Ānanda and exchanged courteous greetings with him.
555.wav|He saw Pilotika the wanderer coming from afar and, on seeing him, said to him, 'Now where is Master Vacchāyana coming from in the middle of the day?'
556.wav|Then the Licchavis snapped their fingers:
557.wav|There is the case where, whenever we want, with the stilling of directed thoughts & evaluations, we enter & remain in the second jhāna:
558.wav|WITH ASSALĀYANA. ASSALĀYANA SUTTA  MAJJHIMA NIKĀYA 93
559.wav|MUṆḌIKA THE CONTEMPLATIVE. SAMAṆA-MUṆḌIKA SUTTA  MAJJHIMA NIKĀYA 78
560.wav|He enters and remains in the third jhāna, and of him the noble ones declare, 'Equanimous & mindful, he has a pleasant abiding.'
561.wav|Wandering by stages, he went to where the Blessed One was staying in Jeta's Grove, Anāthapiṇḍika's monastery.
562.wav|With the abandoning of pleasure & pain—as with the earlier disappearance of elation & distress—he enters & remains in the fourth jhāna:
563.wav|You will enter & remain in the third jhāna, of which the noble ones declare, 'Equanimous & mindful, he has a pleasant abiding.'
564.wav|THE ESTABLISHING OF MINDFULNESS DISCOURSE. SATIPAṬṬHĀNA SUTTA  MAJJHIMA NIKĀYA 10
565.wav|NANDAKA'S EXHORTATION. NANDAKOVĀDA SUTTA  MAJJHIMA NIKĀYA 146
566.wav|And on that occasion Venerable Sāriputta & Venerable Mahā Moggallāna were staying near Rājagaha in a single dwelling in the Squirrels' Sanctuary.
567.wav|With the abandoning of pleasure & pain—as with the earlier disappearance of elation & distress—I entered & remained in the fourth jhāna:
568.wav|With the abandoning of pleasure & pain—as with the earlier disappearance of elation & distress—I enter & remain in the fourth jhāna:
569.wav|He enters & remains in the third jhāna, of which the noble ones declare, 'Equanimous & mindful, he has a pleasant abiding.'
570.wav|He enters and remains in the third jhāna, of which the noble ones declare, 'Equanimous & mindful, he has a pleasant abiding.'
571.wav|He enters & remains in the third jhāna, of which the noble ones declare, 'Equanimous & mindful, one has a pleasant abiding.'
572.wav|He enters & remains in the third jhāna, of which the noble ones declare, 'Equanimous & mindful, he has a pleasant abiding'…
573.wav|Gaze at the assembly of Licchavis!
574.wav|I entered & remained in the third jhāna, of which the noble ones declare, 'Equanimous & mindful, he has a pleasant abiding.'
575.wav|MENTAL ABSORPTION. JHĀNA SUTTA  AṄGUTTARA NIKĀYA 9:36
576.wav|TO CUNDA THE SILVERSMITH. CUNDA KAMMĀRAPUTTA SUTTA  AṄGUTTARA NIKĀYA 10:165
577.wav|AN ANALYSIS OF THE STATEMENT. UDDESA-VIBHAṄGA SUTTA  MAJJHIMA NIKĀYA 138
578.wav|TO THE FATALISTS' STUDENT. ĀJĪVAKA SUTTA  AṄGUTTARA NIKĀYA 3:73
579.wav|We enter & remain in the third jhāna, of which the noble ones declare, 'Equanimous & mindful, he has a pleasant abiding.'
580.wav|I enter & remain in the third jhāna, of which the noble ones declare, 'Equanimous & mindful, he has a pleasant abiding.'
581.wav|I enter & remain in the third jhāna, of which the noble ones declare, 'Equanimous & mindful, one has a pleasant abiding.'
582.wav|With the abandoning of pleasure & pain—as with the earlier disappearance of joy & distress—I enter & remain in the fourth jhāna:
583.wav|Then Jīvaka Komārabhacca went to the Blessed One and, on arrival, having bowed down to him, sat to one side.
584.wav|On one occasion Venerable Uttara was staying at Mahisavatthu [Water Buffalo Ground] on Saṅkheyyaka Mountain in Vaṭṭajālika.
585.wav|THE PRACTICE FOR ONE IN TRAINING. SEKHA-PAṬIPADĀ SUTTA  MAJJHIMA NIKĀYA 53
586.wav|THE GREATER DISCOURSE AT ASSAPURA. MAHĀ ASSAPURA SUTTA  MAJJHIMA NIKĀYA 39
587.wav|TO GAṆAKA MOGGALLĀNA. GAṆAKA MOGGALLĀNA SUTTA  MAJJHIMA NIKĀYA 107
588.wav|There he stayed in Thullakoṭṭhita in King Koravya's Migācīra (garden).
589.wav|THE GREAT ELEPHANT FOOTPRINT SIMILE. MAHĀ HATTHIPADOPAMA SUTTA  MAJJHIMA NIKĀYA 28
590.wav|SICK (CITTA THE HOUSEHOLDER'S LAST HOURS). GILĀNA SUTTA  SAṀYUTTA NIKĀYA 41:10
591.wav|UDĀNA 6:1. RELINQUISHMENT OF THE LIFE FORCE (ĀYUSAMA-OSAJJANA SUTTA)
592.wav|When this was said, the brahman Lohicca said to the Blessed One, 'But is there, Master Gotama, any teacher who is not worthy of criticism in the world?'
593.wav|TO MAṆICŪḶAKA. MAṆICŪḶAKA SUTTA  SAṀYUTTA NIKĀYA 42:10
594.wav|(BRAHMANS) OF THE WESTERN LAND. PACCHA-BHŪMIKA SUTTA  SAṀYUTTA NIKĀYA 42:6
595.wav|Varuṇas & Sahadhammas, Accutas & Anejakas,
596.wav|There is the case where, with the stilling of directed thoughts & evaluations, a monk enters & remains in the second jhāna:
597.wav|There is the case where a monk, with the stilling of directed thoughts & evaluations, enters & remains in the second jhāna:
598.wav|THE GREATER DISCOURSE ON EMPTINESS. MAHĀ SUÑÑATA SUTTA  MAJJHIMA NIKĀYA 122
599.wav|SETTING THE WHEEL OF DHAMMA IN MOTION. DHAMMACAKKAPPAVATTANA SUTTA  SAṀYUTTA NIKĀYA 56:11
600.wav|Yes.
601.wav|No.
602.wav|I see.
603.wav|Yes, lord.
604.wav|No, friend.
605.wav|Yes, sir.
606.wav|Please, sir.
607.wav|It is so.
608.wav|Indeed, yes.
609.wav|Welcome.
610.wav|Are you there?
611.wav|I agree.
612.wav|Excellent, monk.
613.wav|Wonderful, lord.
614.wav|Exactly.
615.wav|Very well.
616.wav|So be it.
617.wav|What is it?
618.wav|Who is there?
619.wav|Is it so?
620.wav|Not at all.
621.wav|Never.
622.wav|Always.
623.wav|I understand.
624.wav|Speak, monk.
625.wav|Listen, friend.
626.wav|Be mindful.
627.wav|Be heedful.
628.wav|Be alert.
629.wav|Mind released.
630.wav|Calmed mind.
631.wav|Mind stilled.
632.wav|Mind quiet.
633.wav|Unbound.
634.wav|Ceased.
635.wav|Inconstant.
636.wav|Not self.
637.wav|Stressful.
638.wav|Cessation.
639.wav|Unbinding.
640.wav|Sikhī.
641.wav|Channa.
642.wav|Jayasena.
643.wav|Bhūmija.
644.wav|Cundaka.
645.wav|Bhaggas.
646.wav|Nibbuti.
647.wav|Dhamma.
648.wav|Jhāna.
649.wav|Gotama.
650.wav|Ānanda.
651.wav|Saṅgha.
652.wav|Buddha.
653.wav|Yes, indeed.
654.wav|No, indeed.
655.wav|Certainly.
656.wav|Truly.
657.wav|Very good.
658.wav|Well done.
659.wav|Go now.
660.wav|Come back.
661.wav|Wait here.
662.wav|Look there.
663.wav|Who's there?
664.wav|Who is he?
665.wav|I am here.
666.wav|He is here.
667.wav|She is here.
668.wav|Speak now.
669.wav|Listen now.
670.wav|I am stilled.
671.wav|I am calmed.
672.wav|Peaceful.
673.wav|Quiet.
674.wav|Tranquil.
675.wav|Unbound now.
676.wav|Released now.
677.wav|Calm down.
678.wav|Stay mindful.
679.wav|Be quiet.
680.wav|Be stilled.
681.wav|All is stilled.
682.wav|All has ceased.
683.wav|This is peace.
684.wav|This is stilled.
685.wav|It has ceased.
686.wav|This is Unbinding.
687.wav|Peaceful mind.
688.wav|Wise disciple.
689.wav|Noble disciple.
690.wav|Honored teacher.
691.wav|Mind is released.
692.wav|Heart is calmed.
693.wav|Dhamma is taught.
694.wav|Sutta is read.
695.wav|I am listening.
696.wav|You are speaking.
697.wav|He is mindful.
698.wav|She is alert.
699.wav|All is quiet.
700.wav|Well, yes.
701.wav|Now, then.
702.wav|Oh, indeed.
703.wav|See, look.
704.wav|Look, see.
705.wav|Then a certain Vajjian monk approached him and, on arrival, having bowed down to him, sat to one side.
706.wav|Why, yes.
707.wav|The brahman householders of Venāgapura heard it said, 'Gotama the contemplative—the son of the Sakyans, having gone forth from the Sakyan clan—has arrived at Kesaputta.
708.wav|So, then.
709.wav|First, listen.
710.wav|Then, speak.
711.wav|Listen, monk.
712.wav|Speak, friend.
713.wav|No, thanks.
714.wav|Right, then.
715.wav|Yes, lord, it is.
716.wav|No, friend, indeed.
717.wav|Now, see this.
718.wav|Look, it is there.
719.wav|So, let it be.
720.wav|Thus, he spoke.
721.wav|There, he sat.
722.wav|Go, now.
723.wav|Come, see.
724.wav|Stay, listen.
725.wav|Wait, look.
726.wav|Here, indeed.
727.wav|Now, look.
728.wav|So, indeed.
729.wav|Then, look.
730.wav|Always mindful, always alert.
731.wav|Heedful, they prosper.
732.wav|Mindful, they wake.
733.wav|Stilled, they dwell.
734.wav|Released, they rejoice.
735.wav|Calmed, they sit.
736.wav|Tranquil, they stay.
737.wav|Peaceful, they live.
738.wav|Unbound, they wake.
739.wav|Ceased, all is quiet.
740.wav|Look, the moon.
741.wav|Look, the stars.
742.wav|Listen, the wind.
743.wav|Listen, the sound.
744.wav|Speak, wise one.
745.wav|Listen, disciple.
746.wav|No, it is not.
747.wav|Yes, it is so.
748.wav|This, indeed, is peace.
749.wav|That, indeed, is Unbinding.
750.wav|Indeed, it is stilled.
751.wav|Indeed, it has ceased.
752.wav|Yes, friend, indeed.
753.wav|No, lord, indeed.
754.wav|Well, let us go.
755.wav|Now, let us speak.
756.wav|Come, friend, see.
757.wav|Go, monk, now.
759.wav|Thus, it is.
760.wav|There, indeed, they dwell.
761.wav|Here, indeed, we stay.
762.wav|Look, they are gone.
763.wav|Look, he is here.
764.wav|Speak, I am listening.
765.wav|Listen, I am speaking.
766.wav|No, not that.
767.wav|Yes, just this.
768.wav|Always quiet, always stilled.
769.wav|Silently, they sit.
770.wav|Gently, they speak.
771.wav|Wise, they are.
772.wav|Noble, they live.
773.wav|Alert, they practice.
774.wav|Heedful, they strive.
775.wav|Released, they are safe.
776.wav|Calmed, they rest.
777.wav|Tranquil, they sleep.
778.wav|Unbound, they are free.
779.wav|Ceased, they are cool.
780.wav|Oh, I see now.
781.wav|Yes, I agree.
782.wav|No, I do not.
783.wav|Well, what of it?
784.wav|So, what is next?
785.wav|Now, what is this?
786.wav|Look, it is gone.
787.wav|See, it has ceased.
788.wav|Listen, it is quiet.
789.wav|Speak, noble teacher.
790.wav|Always alert, always mindful.
791.wav|Gently mindful, gently alert.
792.wav|Stilled mind, calmed mind.
793.wav|Tranquil mind, peaceful mind.
794.wav|Released mind, unbound mind.
795.wav|This is stilled, that is ceased.
796.wav|Here, we sit.
797.wav|There, we stay.
798.wav|Look, the teacher.
799.wav|Listen, the Dhamma.
800.wav|Practice this noble path.
801.wav|Passion is abandoned by the wise.
802.wav|Pain is inconstant and stressful.
803.wav|Pleasure is also inconstant.
804.wav|People seek pleasure in this world.
805.wav|Peace is found in Unbinding.
806.wav|Person is not self.
807.wav|Perception is inconstant.
808.wav|Pure is the mind of the arahant.
809.wav|Perfect is this training.
810.wav|Praise to the Blessed One.
811.wav|Practice mindfulness day and night.
812.wav|Passion leads to suffering.
813.wav|Pain arises from contact.
814.wav|Pleasure vanishes quickly.
815.wav|People cling to form.
816.wav|Peaceful is the forest.
817.wav|Perfect training leads to release.
818.wav|The body named Subhakiṇhā [Beautiful Black] was seen.
819.wav|The body named Vehapphalā [Sky-fruit] was there.
820.wav|Tell me the truth, friend.
821.wav|Tathāgata is the teacher of devas.
822.wav|Truth is noble and deep.
823.wav|Today we practice jhāna.
824.wav|Time is passing quickly.
825.wav|Two paths are declared.
826.wav|Three knowledges are attained.
827.wav|Ten factors are developed.
828.wav|Teacher spoke gently.
829.wav|Training is helpful.
830.wav|Tissa was a mindful monk.
831.wav|Tranquil is the mind.
832.wav|Tell the monks to gather.
833.wav|Tathāgata's last statement was heedfulness.
834.wav|Truth leads to release.
835.wav|Today is the uposatha.
836.wav|Three cravings are abandoned.
837.wav|Training rules are respected.
838.wav|The body named Abhibhū {Conqueror} was stilled.
839.wav|Tame the mind, friend.
840.wav|King Pasenadi Kosala was miserable.
841.wav|Kassapa lived in the forest.
842.wav|Kaccāna explained the brief statement.
843.wav|Kamma is the field.
844.wav|Kosala was a great land.
845.wav|Kālāmas heard the Gotama.
846.wav|Kapilavatthu was among the Sakyans.
847.wav|Knowledge of cessation is attained.
848.wav|King Pasenadi Kosala sat down.
849.wav|Kassapa was a three-knowledge man.
850.wav|Kaccāna was highly esteemed.
851.wav|Kamma is the seed of becoming.
852.wav|Kosala's queen had died.
853.wav|Kālāmas of Kesaputta heard the Dhamma.
854.wav|Kapilavatthu was beautiful.
855.wav|Knowledge arises in the concentrated mind.
856.wav|King sat down on his seat.
857.wav|Kassapa was peaceful.
858.wav|Kaccāna spoke the truth.
859.wav|Knowledge of Unbinding is supreme.
860.wav|Buddha taught the Dhamma.
861.wav|Brahmā Sahampati uttered a verse.
862.wav|Blessed One was staying near Sāvatthī.
863.wav|Body is like a clay jar.
864.wav|Birth is painful.
865.wav|Bondage of awareness is broken.
866.wav|Bārāṇasī is a great city.
867.wav|Bhaṇḍa is a quiet village.
868.wav|Bhaddiya exclaim what bliss.
869.wav|Buddha's bidding is done.
870.wav|Brahmā Sahampati bowed down.
871.wav|Blessed One was staying at Rājagaha.
872.wav|Body has ceased to grow.
873.wav|Birth has been destroyed.
874.wav|Bondage is ended.
875.wav|Bārāṇasī has been visited.
876.wav|Bhaṇḍa village is near.
877.wav|Bhaddiya was shaven.
878.wav|Buddha's words are stilled.
879.wav|Brahmā's mind is concentrated.
880.wav|Sutta was recited together.
881.wav|Sāriputta was extremely wise.
882.wav|Sāvatthī is where the Jeta's Grove is.
883.wav|Saṅgha of monks was large.
884.wav|Stress has been comprehended.
885.wav|Sāketa is a beautiful city.
886.wav|Samiddhi stayed in the forest.
887.wav|Sīha was a general.
888.wav|Sikhī was an ancient Buddha.
889.wav|Stilled is the mind.
890.wav|SUTTA NIPĀTA HAS DEEP TEACHINGS
891.wav|Sāriputta addressed the monks.
892.wav|Sāvatthī was a great place.
893.wav|Saṅgha is worthy of offerings.
894.wav|Stress arises from craving.
895.wav|Sāketa has been seen.
896.wav|Samiddhi was mindful.
897.wav|Sīha had conviction.
898.wav|Sikhī has stilled the mind.
899.wav|Stilled mind is peaceful.
900.wav|What do you think, friend?
901.wav|Is form constant or inconstant?
902.wav|Where is the Blessed One staying?
903.wav|Who is that monk?
904.wav|Why is there suffering?
905.wav|How is the mind released?
906.wav|Who is Kassapa?
907.wav|Is this the Dhamma?
908.wav|Do you understand, monk?
909.wav|Are you heedful, friend?
910.wav|Is feeling constant or inconstant?
911.wav|Is perception constant or inconstant?
912.wav|Are fabrications constant or inconstant?
913.wav|Is consciousness constant or inconstant?
914.wav|What is the cause of stress?
915.wav|What is the cessation of stress?
916.wav|Where does the Tathāgata go after death?
917.wav|Do you see that mountain (the Vulture Peak)?
918.wav|Is the mind concentrated?
919.wav|Is the mind concentrated (and stilled)?
920.wav|Why do you sit silent?
921.wav|What was said by Sāriputta?
922.wav|Who is the teacher of the cosmos?
923.wav|Is Unbinding the highest goal?
924.wav|Has the arrow been removed?
925.wav|Are the effluents ended?
926.wav|Is this your last birth?
927.wav|Who has crossed over the flood?
928.wav|Why are you miserable, king?
929.wav|Have you heard the True Dhamma?
930.wav|Is the body stilled?
931.wav|Is the mind stilled?
932.wav|Who is staying in Jeta's Grove?
933.wav|Where is Rājagaha?
934.wav|Who is the householder Nakula?
935.wav|Is the kamma the field?
936.wav|Is consciousness the seed?
937.wav|Is craving the moisture?
938.wav|Why do fools run amok?
939.wav|Is this the end of suffering?
940.wav|Have you seen the Beautiful Black Devas?
941.wav|Who is the King of Death?
942.wav|Is there any danger in heedlessness?
943.wav|Do you delight in seclusion?
944.wav|Why do you weep, friend?
945.wav|Who is the nun Puṇṇa?
946.wav|Is the forest quiet?
947.wav|Have the jhānas been attained?
948.wav|Do you revere the true Dhamma?
949.wav|Who has done the Teacher's bidding?
950.wav|Is the mind well-directed?
951.wav|Are the five hindrances abandoned?
952.wav|Who was Sikhī?
953.wav|Where is Channa?
954.wav|Who is Jayasena?
955.wav|Has Bhūmija arrived?
956.wav|Where is Cundaka?
957.wav|Are the Bhaggas prosperous?
958.wav|Have you attained nibbuti?
959.wav|Is this the ultimate peace?
960.wav|What bliss!
961.wav|How wonderful!
962.wav|Amazing, lord!
963.wav|Astounding, friend!
964.wav|Praise to the Blessed One!
965.wav|Look at the moon!
966.wav|Wake up, monks!
967.wav|Be heedful!
968.wav|Burst the darkness!
969.wav|This is the end of stress!
970.wav|What a beautiful forest!
971.wav|How stilled is the mind!
972.wav|Truly, the Buddha's bidding is done!
973.wav|So freed! So thoroughly freed am I!
974.wav|How exquisite is Unbinding!
975.wav|Praise to the Dhamma!
976.wav|Praise to the Saṅgha!
977.wav|Oh, how quiet!
978.wav|No more births!
979.wav|Let us go to the forest!
980.wav|Listen to the wise!
981.wav|Abandon all craving!
982.wav|Strive relentlessly!
983.wav|Rejoice in the Dhamma!
984.wav|Be alert, monks!
985.wav|See the Truth!
986.wav|Stay concentrated!
987.wav|Do not be heedless!
988.wav|What a great king!
989.wav|How peaceful is this night!
990.wav|Look at the stars!
991.wav|Sikhī has spoken!
992.wav|Channa is released!
993.wav|Jayasena is stilled!
994.wav|Bhūmija is calmed!
995.wav|Cundaka is quiet!
996.wav|Bhaggas are prosperous!
997.wav|Nibbuti is attained!
998.wav|This is the ultimate goal!
999.wav|May you be happy!
bench_23.wav|'There are the Devas of the Four Great Kings, the Devas of the Thirty-three, the Devas of the Hours, the Contented Devas, the 
bench_28.wav|'Magnificent, Master Kaccāna!
bench_46.wav|'Whether or not there is the arising of Tathāgatas, this property stands—this steadfastness of the Dhamma, this orderliness of the Dhamma:
