0.wav| əŋəs̪, məəd̪ʰən̪s̪, kəs̪ɪs̪, koːs̪ələn̪s̪, ʋəd̪ʒd̪ʒɪən̪s̪, məllən̪s̪, t̪ʃeːt̪ɪs̪, ʋəŋs̪ɑːs̪,
166.wav| ðˈʌs wˈɒz ˈɪt sˈɛd. ˈand ˈɪn ɹˈɛfɹəns tˈuː wˈɒt wˈɒz ˈɪt sˈɛd?
167.wav| sˈʌtʃ ˈɪz ðˈə əɹˌɪdʒɪnˈeɪʃən ˈɒv ðˈɪs ɛntˈaɪə mˈas ˈɒv sˈʌfəɹɪŋ ˈand stɹˈɛs.
168.wav| ðˈə mˈʌŋk ˈɛntəz ˈand ɹɪmˈeɪnz ˈɪn ðˈə fˈɔːθ d̪ʒʰɑːn̪ə: pjˈʊəɹɪti ˈɒv ˌiːkwɐnˈɪmɪti ˈand mˈaɪndfəlnəs, nˈaɪðə plˈɛʒə nˈɔː pˈeɪn.
169.wav| 'wɒtˈɛvə plˈɛʒə ˈand dʒˈɔɪ ɐɹˈaɪzɪz dɪpˈɛndənt ˈɒn fˈiːlɪŋ: ðˈat ˈɪz ðˈə ɐlˈʊə ˈɒv fˈiːlɪŋ.…
170.wav| ðˈə fˈakt ðˈat fˈiːlɪŋ ˈɪz ɪŋkˈɒnstənt, stɹˈɛsfəl, sˈʌbdʒɛkt tˈuː tʃˈeɪndʒ: ðˈɪs ˈɪz ðˈə dɹˈɔːbak ˈɒv fˈiːlɪŋz.
171.wav| ˈɛni ɹɪstɹˈeɪnt ˈɒv bˈɒdi, spˈiːtʃ, ˈand ˈɪntəlˌɛkt pɹˈaktɪst hˈiə wˈɪl bˈiː wˈɒnz ʃˈɛltə, kˈeɪv, ˈaɪlənd, ˈand ɹˈɛfjuːdʒ ˈaftə dˈɛθ ˈɪn ðˈə wˈɜːld bɪjˈɒnd.'
172.wav| fˈaɪv fˈakəltiz: ðˈə fˈakəlti ˈɒv kənvˈɪkʃən, ðˈə fˈakəlti ˈɒv pəsˈɪstəns, ðˈə fˈakəlti ˈɒv mˈaɪndfəlnəs, ðˈə fˈakəlti ˈɒv kˌɒnsəntɹˈeɪʃən, ðˈə fˈakəlti ˈɒv dɪsˈɜːnmənt.
173.wav| ðˈə vˈɔɪs ˈɒv ɐnˈʌðə ˈand ɐpɹˈəʊpɹɪət ɐtˈɛnʃən. ðˈiːz ˈɑː ðˈə tˈuː kəndˈɪʃənz fˈɔː ðˈə ɐɹˈaɪzɪŋ ˈɒv ɹˈaɪt vjˈuː.'
174.wav| wɒtˈɛvə tˈiːtʃɪŋz ˈɑː ˈadmɪɹəbəl ˈɪn ðˈə bɪɡˈɪnɪŋ, ˈadmɪɹəbəl ˈɪn ðˈə mˈɪdəl, ˈadmɪɹəbəl ˈɪn ðˈə ˈɛnd,
175.wav| dˌɪsɛntʃˈantɪd, hˈiː bɪkˈʌmz dɪspˈaʃənət. θɹˈuː dɪspˈaʃən, hˈiː ˈɪz ɹɪlˈiːst.
176.wav| • 'fˈaɪv lˈəʊə fˈɛtəz: sˈɛlf-aɪdˈɛntɪfɪkˈeɪʃən vjˈuːz, ʌnsˈɜːtənti, ɡɹˈaspɪŋ ˈat hˈabɪts ˈand pɹˈaktɪsɪz, sˈɛnsjuːəl dɪzˈaɪə, ˈɪl wˈɪl.
177.wav| —dɪpˈɛndɪŋ ˈɒn tˈaɪm ˈand əkˈeɪʒən—kˈan bˈiː ɛkspˈiəɹɪənst bˈaɪ ˈeɪ hˈaʊshəʊldə pɑːtˈeɪkɪŋ ˈɒv sˌɛnsjuːˈalɪti.
178.wav| ʃˈeɪvz ˈɒf hˈɪz hˈeə ˈand bˈiəd, pˈʊts ˈɒn ðˈə ˈəʊkə ɹˈəʊbz, ˈand ɡˈəʊz fˈɔːθ fɹˈɒm ðˈə hˈaʊshəʊld lˈaɪf ˈɪntʊ hˈəʊmləsnəs.
179.wav| 'mˈʌŋks, ðˈə ˈaɪ ˈɪz ɪŋkˈɒnstənt, tʃˈeɪndʒəbəl, ˈɒltəɹəbəl. ðˈə ˈiə… ðˈə nˈəʊz… ðˈə tˈʌŋ… ðˈə bˈɒdi… ðˈə mˈaɪnd ˈɪz ɪŋkˈɒnstənt, tʃˈeɪndʒəbəl, ˈɒltəɹəbəl.
180.wav| ˈɪl-spˈəʊkən, ʌnwˈɛlkʌm wˈɜːdz ˈand bˈɒdili fˈiːlɪŋz ðˈat, wˈɛn ðˈeɪ ɐɹˈaɪz, ˈɑː pˈeɪnfəl, ɹˈakɪŋ, ʃˈɑːp, pˈiəsɪŋ, dˌɪsɐɡɹˈiːəbəl, dɪsplˈiːzɪŋ, ˈand mˈɛnɪsɪŋ tˈuː lˈaɪf.
181.wav| 'hˈiː hˈiəz—bˈaɪ mˈiːnz ˈɒv ðˈə dɪvˈaɪn ˈiə-ˈɛlɪmənt, pjˈʊəɹɪfˌaɪd ˈand səpˈasɪŋ ðˈə hjˈuːmən—bˈəʊθ kˈaɪndz ˈɒv sˈaʊndz: dɪvˈaɪn ˈand hjˈuːmən, wˈɛðə nˈiə ˈɔː fˈɑː.
182.wav| ɹˈiːtʃ kɒnsəmˈeɪʃən θɹˈuː hˈiːdfəlnəs.' ðˈat wˈɒz ðˈə t̪ət̪ʰɑːət̪ə's̪ lˈast stˈeɪtmənt.
183.wav| ðˈɛn sˈʌm ˈɒv ðˈə lɪt̪ʃt̪ʃʰəʋɪs̪ sˈɛd, 'hˈuː ˈɪz oːt̪əmə ðˈə kəntˈəmplətˌɪv ðˈat hˈiː wˈɪl ɹɪfjˈuːt ðˈə stˈeɪtmənt ˈɒv s̪ət̪ʃt̪ʃəkə ðˈə n̪ɪəɳʈʰə-sˈʌn?
184.wav| ðˈə ʃˈɔːtə dˈɪskɔːs tˈuː s̪ət̪ʃt̪ʃəkə. t̪ʃuːɭə s̪ət̪ʃt̪ʃəkə s̪ut̪t̪ə. məd̪ʒd̪ʒʰɪmə n̪ɪkɑːjə. θˈɜːti fˈaɪv
185.wav| nˈʌθɪŋ kˈan bˈiː dˈʌn tˈuː ðˈə ʋəd̪ʒd̪ʒɪən̪s̪ bˈaɪ kˈɪŋ əd̪ʒɑːt̪əs̪ət̪t̪u ʋeːd̪eːɦɪput̪t̪ə, ðˈə kˈɪŋ ˈɒv məəd̪ʰə, θɹˈuː fˈɔːs ˈɒv ˈɑːmz—ɛksˈɛpt bˈaɪ bɪfɹˈɛndɪŋ ðˈɛm ˈand sˈəʊɪŋ dɪsˈɛnʃən (ɐmˈʌŋ ðˈɛm).
186.wav| [sˈɪmɪləli wˈɪð məkkʰəlɪ oːs̪ɑːlə, əd̪ʒɪt̪ə keːs̪əkəmbəlɪn̪, pəkud̪ʰə kət̪ʃt̪ʃɑːjən̪ə, s̪əɲd̪ʒəjə ʋeːləʈʈʰəput̪t̪ə, ˈand n̪ɪəɳʈʰə n̪ɑːʈəput̪t̪ə.]
187.wav| tˈuː ʋət̪ʃt̪ʃʰəoːt̪t̪ə ˈɒn fˈaɪə. əɪ-ʋət̪ʃt̪ʃʰəoːt̪t̪ə s̪ut̪t̪ə. məd̪ʒd̪ʒʰɪmə n̪ɪkɑːjə. sˈɛvənti tˈuː
188.wav| ˈaɪ hˈav hˈɜːd ðˈat ˈɒn wˈɒn əkˈeɪʒən ðˈə blˈɛsɛd wˈɒn wˈɒz stˈeɪɪŋ ˈat ɾɑːd̪ʒəəɦə, ˈɪn d̪ʒiːʋəkə koːmɑːɾəbʰət̪ʃt̪ʃə's̪ mˈaŋɡəʊ ɡɹˈəʊv, wˈɪð ˈeɪ lˈɑːdʒ s̪əŋʰə ˈɒv mˈʌŋks—wˈɒn θˈaʊzənd tˈuː hˈʌndɹɪd fˈɪfti mˈʌŋks ˈɪn ˈɔːl.
189.wav| sˈʌm ˈɒv ðˈə lɪt̪ʃt̪ʃʰəʋɪs̪ sˈɛd, 'hˈuː ˈɪz s̪ət̪ʃt̪ʃəkə ðˈə n̪ɪəɳʈʰə-sˈʌn ðˈat hˈiː wˈɪl ɹɪfjˈuːt ðˈə stˈeɪtmənt ˈɒv oːt̪əmə ðˈə kəntˈəmplətˌɪv?
190.wav| vˈɛnəɹəbəl puɳɳə mən̪t̪ɑːɳɪput̪t̪ə hˈɜːd, 'ðˈə blˈɛsɛd wˈɒn hˈaz ɐɹˈaɪvd ˈat s̪ɑːʋət̪t̪ʰiː ˈand ˈɪz stˈeɪɪŋ nˈiə s̪ɑːʋət̪t̪ʰiː ˈɪn d̪ʒeːt̪ə's̪ ɡɹˈəʊv, ən̪ɑːt̪ʰəpɪɳɖɪkə's̪ mˈɒnastəɹi.'
191.wav| ˈɒn wˈɒn əkˈeɪʒən vˈɛnəɹəbəl məɦɑː t̪ʃun̪d̪ə wˈɒz stˈeɪɪŋ ɐmˈʌŋ ðˈə t̪ʃeːt̪ɪs̪ ˈɪn s̪əɲd̪ʒɑːt̪ɪ.
192.wav| ˈɒn wˈɒn əkˈeɪʒən vˈɛnəɹəbəl məɦɑː t̪ʃun̪d̪ə wˈɒz stˈeɪɪŋ ɐmˈʌŋ ðˈə t̪ʃeːt̪ɪs̪ ˈat s̪əɦəd̪ʒɑːt̪ɪ.
193.wav| fɹˈɒm ˈɪɡnəɹəns ˈaz ˈeɪ ɹˈɛkwɪsˌɪt kəndˈɪʃən. əʋɪd̪ʒd̪ʒɑːpət̪ʃt̪ʃəjə s̪ut̪t̪ə. s̪əŋjut̪t̪ə n̪ɪkɑːjə. twˈɛlv: θˈɜːti fˈaɪv
194.wav| ðˈɛn, ˈɜːlɪ ˈɪn ðˈə mˈɔːnɪŋ, vˈɛnəɹəbəl bʰuːmɪd̪ʒə—hˈavɪŋ ɐdʒˈʌstɪd hˈɪz lˈəʊə ɹˈəʊb ˈand tˈeɪkɪŋ hˈɪz bˈəʊl ˈand ˈaʊtə ɹˈəʊb—wˈɛnt tˈuː pɹˈɪns d̪ʒəjəs̪eːn̪ə's̪ ɹˈɛzɪdəns.
195.wav| ˈaɪ hˈav hˈɜːd ðˈat ˈɒn wˈɒn əkˈeɪʒən ðˈə blˈɛsɛd wˈɒn, ˈɒn ˈeɪ wˈɒndəɹɪŋ tˈʊə ɐmˈʌŋ ðˈə koːs̪ələn̪s̪ wˈɪð ˈeɪ lˈɑːdʒ s̪əŋʰə ˈɒv mˈʌŋks, ɐɹˈaɪvd ˈat ˈeɪ koːs̪ələn̪ bɹˈɑːmən vˈɪlɪdʒ nˈeɪmd ɪt̪ʃt̪ʃʰɑːn̪əŋələ.
196.wav| wˈɒnz ˈəʊn mˈaɪnd. s̪ət̪ʃɪt̪t̪ə s̪ut̪t̪ə. əŋut̪t̪əɾə n̪ɪkɑːjə. tˈɛn: fˈɪfti wˈɒn
197.wav| wˈɛn ðˈə nˈaɪt hˈad pˈast, ðˈə sˈiːnjə mˈʌŋks ɐdʒˈʌstɪd ðˈeə lˈəʊə ɹˈəʊbz ˈɪn ðˈə ˈɜːlɪ mˈɔːnɪŋ ˈand, tˈeɪkɪŋ ðˈeə bˈəʊlz ˈand ˈaʊtə ɹˈəʊbz, wˈɛnt tˈuː t̪ʃɪt̪t̪ə's̪ ɹˈɛzɪdəns.
198.wav| ðˈɛn, ˈaz ðˈə nˈaɪt wˈɒz ˈɛndɪŋ, ðˈə bɹˈɑːmən loːɦɪt̪ʃt̪ʃə hˈad tʃˈɔɪs stˈeɪpəl ˈand nˈɒn-stˈeɪpəl fˈuːdz pɹɪpˈeəd ˈɪn hˈɪz ˈəʊn hˈəʊm ˈand ðˈɛn sˈɛd tˈuː ɾoːs̪ɪkə ðˈə bˈɑːbə, 'kˈʌm, dˈiə ɾoːs̪ɪkə.
199.wav| '[fˈɔː] hˈiː ɐtˈeɪnz—wɛnˈɛvə hˈiː wˈɒnts, wɪðˈaʊt stɹˈeɪn, wɪðˈaʊt dˈɪfɪkˌʌlti—ðˈə fˈɔː d̪ʒʰɑːn̪əs̪ ðˈat ˈɑː hˈaɪtənd mˈɛntəl stˈeɪts, plˈɛzənt ɐbˈaɪdɪŋz ˈɪn ðˈə hˈiə ˈand nˈaʊ.
200.wav| '[fˈɔː] hˈiː kˈan ɐtˈeɪn ˈat wˈɪl, wɪðˈaʊt tɹˈʌbəl ˈɔː dˈɪfɪkˌʌlti, ðˈə fˈɔː d̪ʒʰɑːn̪əs̪—hˈaɪtənd mˈɛntəl stˈeɪts pɹəvˈaɪdɪŋ ˈeɪ plˈɛzənt ɐbˈaɪdɪŋ ˈɪn ðˈə hˈiə ˈand nˈaʊ.
201.wav| ðˈɛn ðˈə blˈɛsɛd wˈɒn wˈɛnt tˈuː ðˈə bɹˈɑːmən loːɦɪt̪ʃt̪ʃə's̪ hˈəʊm.
202.wav| sˈəʊ ðˈə bɹˈɑːmən hˈaʊshəʊldəz ˈɒv ɪt̪ʃt̪ʃʰɑːn̪əŋələ, wˈɛn ðˈə nˈaɪt wˈɒz ɡˈɒn, tˈeɪkɪŋ mˈɛni stˈeɪpəl ˈand nˈɒn-stˈeɪpəl fˈuːdz, wˈɛnt tˈuː ðˈə ɡˈeɪt hˈaʊs ˈɒv ðˈə ɪt̪ʃt̪ʃʰɑːn̪əŋələ fˈɒɹɪst ɡɹˈəʊv.
203.wav| ˈeɪ θˈɜːd tˈaɪm ðˈə blˈɛsɛd wˈɒn ɐdɹˈɛst vˈɛnəɹəbəl s̪ɑːɾɪput̪t̪ə, 's̪ɑːɾɪput̪t̪ə, ˈɪt ˈɪz sˈɛd ˈɪn əd̪ʒɪt̪ə's̪ kwˈɛstʃən ˈɪn ðˈə wˈeɪ tˈuː ðˈə fˈɜːðə ʃˈɔː:
204.wav| ˈaɪ hˈav hˈɜːd ðˈat ˈɒn wˈɒn əkˈeɪʒən ðˈə blˈɛsɛd wˈɒn wˈɒz stˈeɪɪŋ nˈiə ɾɑːd̪ʒəəɦə, ˈɪn d̪ʒiːʋəkə koːmɑːɾəbʰət̪ʃt̪ʃə's̪ mˈaŋɡəʊ ɡɹˈəʊv.
205.wav| ðˈə ʃˈɔːtə dˈɪskɔːs ˈɒn tˈeɪkɪŋ ˈɒn pɹˈaktɪsɪz. t̪ʃuːɭə d̪ʰəmməs̪əmɑːd̪ɑːn̪ə s̪ut̪t̪ə. məd̪ʒd̪ʒʰɪmə n̪ɪkɑːjə. fˈɔːti fˈaɪv
206.wav| ðˈə ʋət̪ʃt̪ʃʰəoːt̪t̪ə ðˈə wˈɒndəɹə, ɡˈɛtɪŋ ˈʌp fɹˈɒm hˈɪz sˈiːt, wˈɛnt tˈuː vˈɛnəɹəbəl məɦɑː moːəllɑːn̪ə ˈand, ˈɒn ɐɹˈaɪvəl, ɛkstʃˈeɪndʒd kˈɜːtiəs ɡɹˈiːtɪŋz wˈɪð hˈɪm.
207.wav| ðˈɛn s̪ət̪ʃt̪ʃəkə, ˈeɪ n̪ɪəɳʈʰə [dʒˈeɪn], wˈaɪl wˈɔːkɪŋ ˈand wˈɒndəɹɪŋ ɐɹˈaʊnd tˈuː ˈɛksəsˌaɪz hˈɪz lˈɛɡz, wˈɛnt tˈuː ðˈə ɡˈeɪbəld hˈɔːl ˈɪn ðˈə ɡɹˈeɪt fˈɒɹɪst.
208.wav| sˈɪstə s̪iːs̪upət̪ʃɑːlɑː. s̪iːs̪upət̪ʃɑːlɑː s̪ut̪t̪ə. s̪əŋjut̪t̪ə n̪ɪkɑːjə. fˈaɪv: ˈeɪt
209.wav| wˈɛn ðˈɪs upoːs̪ət̪ʰə ˈɒv ðˈə dʒˈeɪnz ˈɪz ˌʌndətˈeɪkən, ˈɪt ˈɪz nˈɒt ˈɒv ɡɹˈeɪt fɹˈuːt ˈɔː ɡɹˈeɪt bˈɛnɪfˌɪt, nˈɒt ˈɒv ɡɹˈeɪt ɡlˈɔːɹi ˈɔː ɡɹˈeɪt ɹˈeɪdiəns.
210.wav| ðˈɛn, ˈɜːlɪ ˈɪn ðˈə mˈɔːnɪŋ, s̪iːs̪upət̪ʃɑːlɑː ðˈə nˈʌn ɐdʒˈʌstɪd hˈɜː ɹˈəʊbz ˈand, tˈeɪkɪŋ hˈɜː bˈəʊl ˈand ˈaʊtə ɹˈəʊb, wˈɛnt ˈɪntʊ s̪ɑːʋət̪t̪ʰiː fˈɔː ˈɑːmz.
211.wav| mˈastə oːt̪əmə, əd̪ʒɑːt̪əs̪ət̪t̪u ʋeːd̪eːɦɪput̪t̪ə, ðˈə kˈɪŋ ˈɒv məəd̪ʰə, wˈɒnts tˈuː ɐtˈak ðˈə ʋəd̪ʒd̪ʒɪən̪s̪.
212.wav| ðˈɛn mɑːɾə ðˈə ˈiːvəl wˈɒn—sˈad ˈand dɪdʒˈɛktɪd ˈat ɹˈiəlˌaɪzɪŋ, 's̪iːs̪upət̪ʃɑːlɑː ðˈə nˈʌn nˈəʊz mˈiː'—vˈanɪʃt ɹˈaɪt ðˈeə.
213.wav| ðˈɛn ðˈə bɹˈɑːmən d̪ʒəʈɑː ['tˈaŋɡəl'] bʰɑːɾəd̪ʋɑːd̪ʒə wˈɛnt tˈuː ðˈə blˈɛsɛd wˈɒn ˈand, ˈɒn ɐɹˈaɪvəl, ɛkstʃˈeɪndʒd kˈɜːtiəs ɡɹˈiːtɪŋz wˈɪð hˈɪm.
214.wav| wˈɪð t̪ʃəŋkiː. t̪ʃəŋkiː s̪ut̪t̪ə. məd̪ʒd̪ʒʰɪmə n̪ɪkɑːjə. nˈaɪnti fˈaɪv
215.wav| ˈɒn hˈiəɹɪŋ ðˈə vˈɔɪs ˈɒv ðˈə spˈɪɹɪt d̪iːʰə pəɾəd̪ʒən̪ə, ðˈə ˈɜːθ d̪eːʋəs̪ tˈʊk ˈʌp ðˈə kɹˈaɪ:
216.wav| ðˈɛn ðˈə nˈɒvɪs ət̪ʃɪɾəʋət̪ə, nˈɒt lˈɒŋ ˈaftə pɹˈɪns d̪ʒəjəs̪eːn̪ə's̪ dɪpˈɑːtʃə, wˈɛnt tˈuː ðˈə blˈɛsɛd wˈɒn.
217.wav| ðˈɛn ðˈə spˈɪɹɪt d̪iːʰə pəɾəd̪ʒən̪ə wˈɛnt tˈuː ðˈə blˈɛsɛd wˈɒn ˈand, ˈɒn ɐɹˈaɪvəl, hˈavɪŋ bˈaʊd dˈaʊn tˈuː hˈɪm, stˈʊd tˈuː wˈɒn sˈaɪd.
218.wav| ðˈɛn, ˈaftə ðˈə nˈaɪt hˈad pˈast, ðˈə lɪt̪ʃt̪ʃʰəʋɪs̪ ˈɒfəd tˈuː s̪ət̪ʃt̪ʃəkə ðˈə n̪ɪəɳʈʰə-sˈʌn ˈeɪ fˈuːd ˈɒfəɹɪŋ ˈɒv ɐpɹˈɒksɪmətli fˈaɪv hˈʌndɹɪd əʊblˈeɪʃən-dˈɪʃɪz.
219.wav| pɹˈɪns d̪ʒəjəs̪eːn̪ə wˈɛnt tˈuː vˈɛnəɹəbəl bʰuːmɪd̪ʒə ˈand, ˈɒn ɐɹˈaɪvəl, ɛkstʃˈeɪndʒd kˈɜːtiəs ɡɹˈiːtɪŋz wˈɪð hˈɪm.
220.wav| t̪ʃəmpɑː, ɾɑːd̪ʒəəɦə, s̪ɑːʋət̪t̪ʰiː, s̪ɑːkeːt̪ə, koːs̪əmbiː, bɑːɾɑːɳəs̪iː.
221.wav| sˈəʊ s̪ət̪ʃt̪ʃəkə ðˈə n̪ɪəɳʈʰə-sˈʌn, səɹˈaʊndɪd bˈaɪ fˈaɪv hˈʌndɹɪd lɪt̪ʃt̪ʃʰəʋɪs̪, wˈɛnt tˈuː ðˈə ɡˈeɪbəld hˈɔːl ˈɪn ðˈə ɡɹˈeɪt fˈɒɹɪst.
222.wav| sˈəʊ s̪ət̪ʃt̪ʃəkə ðˈə n̪ɪəɳʈʰə-sˈʌn wˈɛnt tˈuː ðˈəʊz lɪt̪ʃt̪ʃʰəʋɪs̪ ˈand, ˈɒn ɐɹˈaɪvəl, sˈɛd tˈuː ðˈɛm, 'kˈʌm ˈaʊt, ɡˈʊd lɪt̪ʃt̪ʃʰəʋɪs̪!
223.wav| ðˈɛn s̪ət̪ʃt̪ʃəkə ðˈə n̪ɪəɳʈʰə-sˈʌn, sˈɛnsɪŋ ðˈə blˈɛsɛd wˈɒnz ˌakwɪˈɛsəns, ɐdɹˈɛst ðˈə lɪt̪ʃt̪ʃʰəʋɪs̪, 'lˈɪsən, mˈastə lɪt̪ʃt̪ʃʰəʋɪs̪.
224.wav| ðˈɛn s̪ət̪ʃt̪ʃəkə ðˈə n̪ɪəɳʈʰə-sˈʌn təɡˈɛðə wˈɪð ˈeɪ lˈɑːdʒ ɡɹˈuːp ˈɒv lɪt̪ʃt̪ʃʰəʋɪs̪ plˈʌndʒd ˈɪntʊ ðˈə ɡɹˈeɪt fˈɒɹɪst ˈand wˈɛnt tˈuː ðˈə blˈɛsɛd wˈɒn.
225.wav| ðˈɛn məɦɑːpəd̪ʒɑːpət̪ɪ oːt̪əmiː, hˈavɪŋ hˈad hˈɜː hˈeə kˈʌt ˈɒf, hˈavɪŋ dˈɒnd ˈəʊkə ɹˈəʊbz, sˈɛt ˈaʊt fˈɔː ʋeːs̪ɑːliː təɡˈɛðə wˈɪð ˈeɪ lˈɑːdʒ nˈʌmbə ˈɒv s̪əkjən̪ wˈɪmɪn.
226.wav| mˈiːnwaɪl, ˈeɪ sˈɜːtən ɑːd̪ʒiːʋəkən̪ ɐsˈɛtɪk, kˈaɹiɪŋ ˈeɪ kˈɒɹəl-tɹˈiː flˈaʊə fɹˈɒm kus̪ɪn̪ɑːɾɑː, wˈɒz tɹˈavəlɪŋ ˈɒn ðˈə hˈaɪweɪ tˈuː pɑːʋɑː.
227.wav| ɡɹˈatɪfˌaɪd, ðˈə spˈɪɹɪt d̪iːʰə pəɾəd̪ʒən̪ə dɪlˈaɪtɪd ˈɪn ðˈə blˈɛsɛd wˈɒnz wˈɜːdz.
228.wav| ˈaz hˈiː wˈɒz sˈɪtɪŋ ðˈeə hˈiː sˈɛd, 'vˈɛnəɹəbəl sˈɜː, məɦɑːpəd̪ʒɑːpət̪ɪ oːt̪əmiː hˈaz ɐksˈɛptɪd ðˈə ˈeɪt ɹˈuːlz ˈɒv ɹɪspˈɛkt, nˈɛvə tˈuː tɹansɡɹˈɛs ðˈɛm ˈaz lˈɒŋ ˈaz ʃˈiː lˈaɪvz.'
229.wav| ðˈɛn ˈeɪ sˈɜːtən hˈaʊshəʊldə, ˈeɪ dɪsˈaɪpəl ˈɒv ðˈə fˈeɪtəlˌɪsts [ɑːd̪ʒiːʋəkəs̪], wˈɛnt tˈuː hˈɪm ˈand, ˈɒn ɐɹˈaɪvəl, hˈavɪŋ bˈaʊd dˈaʊn tˈuː hˈɪm, sˈat tˈuː wˈɒn sˈaɪd.
230.wav| ɹɪspˈɒndɪŋ, 'ˈaz jˈuː sˈeɪ, sˈaɪə,' ðˈə mˈan wˈɛnt tˈuː s̪əɲd̪ʒəjə ðˈə bɹˈɑːmən ˈɒv ðˈə ɑːkɑːs̪ə klˈan ˈand ˈɒn ɐɹˈaɪvəl sˈɛd tˈuː hˈɪm, 'kˈɪŋ pəs̪eːn̪əd̪ɪ koːs̪ələ sˈʌmənz jˈuː.'
231.wav| ɐbˈaʊt ʋəd̪ʒd̪ʒɪjə. ʋəd̪ʒd̪ʒɪjə s̪ut̪t̪ə. əŋut̪t̪əɾə n̪ɪkɑːjə. tˈɛn: nˈaɪnti fˈɔː
232.wav| ðˈɛn ðˈə mˈʌŋks, dɪlˈaɪtɪŋ ˈɪn ˈand ɐpɹˈuːvɪŋ ˈɒv vˈɛnəɹəbəl məɦɑː kət̪ʃt̪ʃɑːn̪ə's̪ wˈɜːdz, ɡˈɒt ˈʌp fɹˈɒm ðˈeə sˈiːts ˈand wˈɛnt tˈuː ðˈə blˈɛsɛd wˈɒn.
233.wav| nˈiə t̪ʃɑːt̪umɑː. t̪ʃɑːt̪umə s̪ut̪t̪ə. məd̪ʒd̪ʒʰɪmə n̪ɪkɑːjə. sˈɪksti sˈɛvən
234.wav| ðˈɛn ðˈə mˈʌŋks, dɪlˈaɪtɪŋ ˈɪn ˈand ɐpɹˈuːvɪŋ ˈɒv vˈɛnəɹəbəl məɦɑː kət̪ʃt̪ʃɑːn̪ə's̪ wˈɜːdz, ɹˈəʊz fɹˈɒm ðˈeə sˈiːts ˈand wˈɛnt tˈuː ðˈə blˈɛsɛd wˈɒn.
235.wav| wˈɛn ðˈeɪ wˈɜː ʌnˈeɪbəl tˈuː kənvˈɪns ðˈə mˈʌŋks lˈɛd bˈaɪ əs̪s̪əd̪ʒɪ ˈand pun̪əbbəs̪u, ðˈəʊz mˈʌŋks wˈɛnt tˈuː ðˈə blˈɛsɛd wˈɒn [ˈand tˈəʊld hˈɪm wˈɒt hˈad hˈapənd].
236.wav| məɦɑː kət̪ʃt̪ʃɑːn̪ə ˈand ðˈə ɔːspˈɪʃəs dˈeɪ. məɦɑːkət̪ʃt̪ʃɑːn̪ə bʰəd̪d̪eːkəɾət̪t̪ə s̪ut̪t̪ə. məd̪ʒd̪ʒʰɪmə n̪ɪkɑːjə. wˈɒn hˈʌndɹɪd θˈɜːti θɹˈiː
237.wav| wˈɛn ðˈɪs wˈɒz sˈɛd, ðˈə mˈʌŋks lˈɛd bˈaɪ əs̪s̪əd̪ʒɪ ˈand pun̪əbbəs̪u sˈɛd tˈuː ðˈəʊz mˈʌŋks, 'fɹˈɛndz, wˈiː ˈiːt ˈɪn ðˈə ˈiːvnɪŋ, ˈɪn ðˈə mˈɔːnɪŋ, ˈand ˈɪn ðˈə ɹˈɒŋ-tˈaɪm djˈʊəɹɪŋ ðˈə dˈeɪ.
238.wav| ʋəd̪ʒd̪ʒɪjə mɑːɦɪt̪ə ðˈə hˈaʊshəʊldə, pəsˈiːvɪŋ ðˈat ðˈə wˈɒndəɹəz wˈɜː sˈaɪlənt, ɐbˈaʃt…ˈat ˈeɪ lˈɒs fˈɔː wˈɜːdz, ɡˈɒt ˈʌp ˈand wˈɛnt tˈuː ðˈə blˈɛsɛd wˈɒn.
239.wav| ˈɒn ɐɹˈaɪvəl, ðˈə blˈɛsɛd wˈɒn sˈɛd tˈuː vˈɛnəɹəbəl t̪ʃun̪d̪əkə, 't̪ʃun̪d̪əkə, plˈiːz ɐɹˈeɪndʒ mˈaɪ ˈaʊtə ɹˈəʊb fˈəʊldɪd ˈɪn fˈɔː.
240.wav| ɹɪspˈɒndɪŋ, 'ˈaz jˈuː sˈeɪ, lˈɔːd,' tˈuː ðˈə blˈɛsɛd wˈɒn, vˈɛnəɹəbəl t̪ʃun̪d̪əkə ɐɹˈeɪndʒd ðˈə ˈaʊtə ɹˈəʊb fˈəʊldɪd ˈɪn fˈɔː.
241.wav| wˈɪð ɹɪɡˈɑːd tˈuː ðˈat, wˈɒt dˈʌz mˈastə bʰuːmɪd̪ʒə's̪ tˈiːtʃə sˈeɪ, wˈɒt ˈɪz hˈɪz vjˈuː, wˈɒt dˈʌz hˈiː dɪklˈeə?'
242.wav| ˈaz hˈiː wˈɒz sˈɪtɪŋ ðˈeə, hˈiː tˈəʊld ðˈə blˈɛsɛd wˈɒn ðˈə ɛntˈaɪə ɛkstˈɛnt ˈɒv vˈɛnəɹəbəl ud̪ɑːjɪn̪'s̪ kɒnvəsˈeɪʃən wˈɪð pəɲt̪ʃəkəŋə ðˈə kˈɑːpəntə.
